U_ppm,Ta_ppm,Pt_ppb,Pd_ppb,X,Y
1.863,0.733,0.6,0.6,77.046296,15.331081
1.561,0.59,0.6,0.6,77.064815,15.331081
1.354,0.623,0.7,0.7,77.083333,15.331081
1.763,0.696,0.6,0.8,77.101852,15.331081
1.614,0.657,0.5,0.7,77.12037,15.331081
1.292,0.586,0.7,0.7,77.138889,15.331081
1.222,0.532,0.5,0.6,77.157407,15.331081
1.403,0.581,0.5,0.6,77.175926,15.331081
1.589,0.569,0.5,0.6,77.194444,15.331081
1.52,0.631,0.6,0.6,77.212963,15.331081
1.654,0.777,0.4,0.6,77.231481,15.331081
1.46,0.645,0.5,0.7,77.25,15.331081
1.474,0.559,0.0,0.0,77.046296,15.671171
1.991,0.736,0.0,0.0,77.064815,15.671171
2.266,0.739,0.0,0.0,77.083333,15.671171
2.239,0.937,0.0,0.0,77.101852,15.671171
1.701,0.812,0.0,0.0,77.12037,15.671171
1.581,0.845,0.0,0.0,77.138889,15.671171
1.877,0.647,4.5,4.0,77.231481,15.008983
2.428,0.921,0.0,0.0,77.25,15.008968
0.7,0.2,0.0,0.0,77.009259,15.027113
2.121,0.84,0.0,0.0,77.027778,15.027111
2.406,0.485,0.0,0.0,77.046296,15.027108
1.487,0.8772,0.0,0.0,77.046296,15.189783
1.977,0.84882,0.0,0.0,77.064815,15.189779
0.554,0.77013,0.0,0.0,77.083333,15.189773
0.791,0.8901,0.0,0.0,77.101852,15.189765
0.574,0.84882,0.0,0.0,77.12037,15.189756
0.718,0.80883,0.0,0.0,77.138889,15.189745
1.305,0.71208,0.0,0.0,77.157407,15.189733
1.118,0.81915,0.0,0.0,77.175926,15.189719
1.019,0.79593,0.0,0.0,77.194444,15.189703
3.167,8.9655,0.0,0.0,77.212963,15.189687
1.005,0.83592,0.0,0.0,77.231481,15.189668
1.242,0.93138,0.0,0.0,77.25,15.18965
1.113,0.8901,0.0,0.0,77.009259,15.207863
1.897,0.99459,0.0,0.0,77.027778,15.207861
1.099,0.88881,0.0,0.0,77.046296,15.207858
1.431,1.01136,0.0,0.0,77.064815,15.207854
2.928,1.49632,0.0,0.0,77.083333,15.207848
4.342,6.28096,0.0,0.0,77.101852,15.20784
1.912,0.784,0.0,0.0,77.12037,15.207831
1.959,0.93744,0.0,0.0,77.138889,15.20782
2.434,1.40896,0.0,0.0,77.157407,15.207808
1.185,0.56336,0.0,0.0,77.175926,15.207794
3.548,0.80752,0.0,0.0,77.194444,15.207778
3.397,1.036,0.0,0.0,77.212963,15.207761
2.321,0.90272,0.0,0.0,77.231481,15.207743
1.684,0.627,0.0,0.0,77.157407,15.671171
2.116,0.699,0.0,0.0,77.175926,15.671171
2.353,0.691,0.0,0.0,77.194444,15.671171
2.407,0.515,0.0,0.0,77.212963,15.671171
6.627,0.867,0.0,0.0,77.231481,15.671171
8.432,0.76,0.0,0.0,77.25,15.671171
2.621,0.818,0.0,0.0,77.009259,15.689189
1.961,0.731,0.0,0.0,77.027778,15.689189
1.686,0.643,0.0,0.0,77.046296,15.689189
1.851,0.773,0.0,0.0,77.064815,15.689189
2.098,1.035,0.0,0.0,77.083333,15.689189
1.684,0.732,0.0,0.0,77.101852,15.689189
1.767,0.78,0.0,0.0,77.12037,15.689189
1.552,0.811,0.0,0.0,77.138889,15.689189
2.998,0.86,0.0,0.0,77.157407,15.689189
2.334,0.798,0.0,0.0,77.175926,15.689189
2.097,0.479,0.0,0.0,77.194444,15.689189
4.385,0.79,0.0,0.0,77.212963,15.689189
5.686,0.907,0.0,0.0,77.231481,15.689189
4.281,1.401,0.0,0.0,77.25,15.689189
1.596,0.655,0.0,0.0,77.009259,15.707207
1.858,0.637,0.0,0.0,77.027778,15.707207
2.506,1.049,0.0,0.0,77.046296,15.707207
1.957,0.717,0.0,0.0,77.064815,15.707207
2.207,0.903,0.0,0.0,77.083333,15.707207
2.659,1.03,0.0,0.0,77.101852,15.707207
3.306,1.139,0.0,0.0,77.12037,15.707207
2.286,0.878,0.0,0.0,77.138889,15.707207
3.206,0.976,0.0,0.0,77.157407,15.707207
2.307,0.972,0.0,0.0,77.175926,15.707207
2.104,0.709,0.0,0.0,77.194444,15.707207
3.422,1.024,0.0,0.0,77.212963,15.707207
14.347,1.471,0.0,0.0,77.231481,15.707207
6.078,2.737,0.0,0.0,77.25,15.707207
1.939,0.811,0.0,0.0,77.009259,15.725225
1.844,1.325,0.0,0.0,77.027778,15.725225
1.863,0.933,0.0,0.0,77.046296,15.725225
2.35,0.919,0.0,0.0,77.064815,15.725225
2.802,0.996,0.0,0.0,77.083333,15.725225
2.344,0.987,0.0,0.0,77.101852,15.725225
1.238,0.231,0.0,0.0,77.12037,15.725225
1.566,0.829,0.0,0.0,77.138889,15.725225
2.604,0.923,0.0,0.0,77.157407,15.725225
2.398,0.825,0.0,0.0,77.175926,15.725225
3.797,0.917,0.0,0.0,77.194444,15.725225
3.629,1.47,0.0,0.0,77.212963,15.725225
6.275,3.315,0.0,0.0,77.231481,15.725225
3.856,1.539,0.0,0.0,77.25,15.725225
1.827,0.715,0.0,0.0,77.009259,15.743243
1.621,0.832,0.0,0.0,77.027778,15.743243
1.848,0.831,0.0,0.0,77.046296,15.743243
1.99,0.858,0.0,0.0,77.064815,15.743243
2.159,0.841,0.0,0.0,77.083333,15.743243
1.9,0.819,0.0,0.0,77.101852,15.743243
1.892,0.843,0.0,0.0,77.12037,15.743243
1.462,0.842,0.0,0.0,77.138889,15.743243
2.214,0.807,0.0,0.0,77.157407,15.743243
3.081,0.74,0.0,0.0,77.175926,15.743243
3.816,0.771,0.0,0.0,77.194444,15.743243
5.903,0.958,0.0,0.0,77.212963,15.743243
6.248,3.671,0.0,0.0,77.231481,15.743243
19.305,16.940001,0.0,0.0,77.25,15.743243
1.587,0.591,0.9,0.9,77.009259,15.259009
1.476,0.656,0.6,0.6,77.027778,15.259009
3.822,0.548,0.4,0.4,77.046296,15.259009
1.435,0.661,0.8,0.8,77.064815,15.259009
1.346,1.632,0.6,0.7,77.083333,15.259009
1.916,0.773,0.6,0.9,77.101852,15.259009
1.405,0.613,0.7,0.8,77.12037,15.259009
1.21,0.554,0.7,0.9,77.138889,15.259009
1.326,0.522,0.7,0.7,77.157407,15.259009
1.173,0.579,0.6,0.8,77.175926,15.259009
1.582,0.425,0.4,0.5,77.194444,15.259009
1.388,0.629,0.7,0.8,77.212963,15.259009
1.771,0.724,0.7,0.9,77.231481,15.259009
1.432,0.716,0.8,1.0,77.25,15.259009
2.005,0.652,0.7,0.8,77.009259,15.277027
4.687,0.606,0.6,0.7,77.027778,15.277027
1.732,0.616,0.6,0.6,77.046296,15.277027
1.512,0.632,0.6,0.6,77.064815,15.277027
1.314,0.629,0.6,0.7,77.083333,15.277027
1.345,0.495,0.6,0.6,77.101852,15.277027
1.299,0.569,0.7,0.8,77.12037,15.277027
1.389,0.638,0.8,0.8,77.138889,15.277027
1.444,0.905,0.0,0.0,77.175926,15.027044
3.718,1.207,0.7,0.7,77.194444,15.027029
1.59,0.715,1.8,1.8,77.212963,15.027012
1.59,0.783,1.3,1.0,77.231481,15.026994
1.839,0.816,1.6,1.2,77.25,15.026976
1.573,0.689,0.0,0.0,77.009259,15.045188
1.303,0.779,0.0,0.0,77.027778,15.045186
1.727,0.749,0.0,0.0,77.046296,15.045183
1.523,0.71,0.0,0.0,77.064815,15.045179
2.494,0.573,0.4,0.5,77.083333,15.045173
4.545,0.795,0.7,0.5,77.101852,15.045165
2.68,0.923,0.6,0.7,77.12037,15.045156
2.343,0.83,0.7,0.8,77.138889,15.045145
1.743,0.96,0.0,0.0,77.157407,15.045133
1.94,1.584,0.0,0.0,77.175926,15.045119
1.677,1.169,0.0,0.0,77.194444,15.045104
2.424,0.902,1.4,1.0,77.212963,15.045087
1.819,0.766,1.8,1.4,77.231481,15.045069
2.437,0.683,0.8,0.7,77.25,15.045051
3.73,0.553,0.0,0.0,77.009259,15.063263
1.325,0.736,0.0,0.0,77.027778,15.063261
1.573,0.762,0.0,0.0,77.046296,15.063258
1.636,0.75,0.0,0.0,77.064815,15.063254
1.608,0.938,0.0,0.0,77.083333,15.063248
1.651,0.626,1.2,1.1,77.101852,15.06324
2.365,0.85,1.3,1.3,77.12037,15.063231
1.016,0.656,0.0,0.0,77.138889,15.06322
1.751,1.37,0.0,0.0,77.157407,15.063208
3.098,1.858,0.9,0.6,77.175926,15.063194
2.085,0.686,0.0,0.0,77.194444,15.063179
1.93,0.664,1.4,1.1,77.212963,15.063162
1.804,0.713,1.2,1.2,77.231481,15.063144
2.566,0.797,1.5,1.7,77.25,15.063126
1.576,0.926,0.0,0.0,77.009259,15.081338
1.925,0.1,0.0,0.0,77.027778,15.081337
2.326,0.755,0.0,0.0,77.046296,15.081333
1.323,0.809,0.0,0.0,77.064815,15.081329
1.428,0.717,0.0,0.0,77.083333,15.081323
1.107,0.552,0.0,0.0,77.101852,15.081315
2.471,0.805,0.0,0.0,77.12037,15.081306
1.998,0.783,0.0,0.0,77.138889,15.081295
0.541,0.701,0.9,0.9,77.157407,15.081283
0.25,0.698,1.1,1.2,77.175926,15.081269
1.433,0.741,0.0,0.0,77.194444,15.081254
2.058,0.715,0.0,0.0,77.212963,15.081237
1.544,0.592,0.0,0.0,77.231481,15.081219
4.061,0.729,0.0,0.0,77.25,15.081201
5.321,0.727,0.0,0.0,77.009259,15.099413
1.682,0.587,1.3,0.7,77.009259,15.349099
1.722,0.702,0.7,0.9,77.027778,15.349099
1.493,0.59,0.5,0.6,77.046296,15.349099
1.746,0.897,0.7,0.7,77.064815,15.349099
1.528,0.619,0.5,0.7,77.083333,15.349099
1.882,0.594,0.6,0.6,77.101852,15.349099
1.52,0.687,0.9,0.8,77.12037,15.349099
2.368,0.682,0.6,0.7,77.138889,15.349099
1.728,0.615,0.6,0.7,77.157407,15.349099
1.593,0.587,0.5,0.6,77.175926,15.349099
1.716,0.479,0.4,0.5,77.194444,15.349099
1.329,0.517,0.3,0.4,77.212963,15.349099
1.2,0.501,0.4,0.4,77.231481,15.349099
1.75,0.664,0.8,0.7,77.25,15.349099
1.238,0.609,0.7,0.7,77.009259,15.367117
1.27,0.49,0.6,0.7,77.027778,15.367117
1.287,0.487,0.6,0.6,77.046296,15.367117
2.012,0.633,0.6,0.8,77.064815,15.367117
1.039,0.70176,0.0,0.0,77.194444,15.171629
1.679,0.602,0.5,0.6,77.083333,15.367117
2.047,0.624,0.9,0.7,77.101852,15.367117
1.513,0.565,0.8,0.8,77.12037,15.367117
1.7,0.613,0.7,0.8,77.138889,15.367117
1.806,0.626,0.6,0.7,77.157407,15.367117
1.809,0.647,0.5,0.6,77.175926,15.367117
1.953,0.585,0.3,0.5,77.194444,15.367117
1.863,0.672,0.1,0.15,77.212963,15.367117
1.445,0.524,0.5,0.5,77.231481,15.367117
1.935,0.797,0.8,1.0,77.25,15.367117
1.606,0.622,0.9,0.9,77.009259,15.385233
1.558,0.56,0.8,0.7,77.027778,15.385233
1.785,0.745,0.9,0.8,77.046296,15.385233
1.664,0.646,0.5,0.5,77.064815,15.385233
2.452,0.709,0.5,0.7,77.083333,15.385233
1.75,0.665,0.7,0.6,77.101852,15.385233
1.833,0.713,0.6,0.6,77.12037,15.385233
1.445,0.556,0.4,0.5,77.138889,15.385233
1.636,0.644,0.3,0.5,77.157407,15.385233
1.701,0.684,0.3,0.4,77.175926,15.385233
2.324,0.705,0.3,0.3,77.194444,15.385233
1.556,0.609,0.4,0.4,77.212963,15.385233
1.313,0.523,0.4,0.5,77.231481,15.385233
1.639,0.611,0.6,0.7,77.25,15.385233
1.38,0.643,0.7,0.7,77.009259,15.403153
1.581,0.61,0.7,0.8,77.027778,15.403153
1.371,0.55,0.8,0.5,77.046296,15.403153
1.736,0.662,0.7,0.7,77.064815,15.403153
1.56,0.676,0.4,0.6,77.083333,15.403153
1.266,0.511,0.5,0.5,77.101852,15.403153
1.367,0.594,0.4,0.4,77.12037,15.403153
1.99,0.679,0.3,0.3,77.138889,15.403153
2.461,0.662,0.3,0.15,77.157407,15.403153
2.095,0.647,0.3,0.4,77.175926,15.403153
2.611,0.649,0.3,0.15,77.194444,15.403153
1.743,0.721,0.3,0.3,77.212963,15.403153
1.126,0.498,0.4,0.4,77.231481,15.403153
2.893,0.854,0.3,0.4,77.25,15.403153
2.099,0.607,0.6,0.7,77.009259,15.421169
1.471,0.598,0.6,0.6,77.027778,15.421169
1.711,0.645,0.6,0.6,77.046296,15.421169
1.648,0.636,0.5,0.7,77.064815,15.421169
2.778,0.742,0.5,0.6,77.083333,15.421169
1.808,0.663,0.4,0.5,77.101852,15.421169
2.399,0.71,0.3,0.3,77.12037,15.421169
3.124,1.136,0.1,0.15,77.138889,15.421169
3.965,1.506,0.1,0.15,77.157407,15.421169
2.593,0.889,0.3,0.15,77.175926,15.421169
1.543,0.473,0.4,0.5,77.194444,15.421169
2.03,0.562,0.2,0.15,77.212963,15.421169
1.656,0.572,0.5,0.4,77.231481,15.421169
1.654,0.488,0.6,0.4,77.25,15.421169
1.366,0.527,0.7,0.7,77.009259,15.439189
1.618,0.551,0.8,0.6,77.027778,15.439189
1.657,0.608,0.5,0.6,77.046296,15.439189
1.924,0.704,0.3,0.4,77.064815,15.439189
2.227,0.721,0.4,0.6,77.083333,15.439189
2.629,0.998,0.2,0.3,77.101852,15.439189
3.876,1.399,0.1,0.15,77.12037,15.439189
3.305,1.575,0.4,0.4,77.138889,15.439189
3.229,1.043,0.1,0.15,77.157407,15.439189
2.346,0.812,0.1,0.15,77.175926,15.439189
2.236,0.794,0.3,0.4,77.194444,15.439189
2.01,0.764,0.4,0.4,77.212963,15.439189
1.787,0.583,0.4,0.4,77.231481,15.439189
1.89,0.605,0.4,0.5,77.25,15.439189
2.381,0.804,0.8,0.6,77.009259,15.457207
1.613,0.552,0.4,0.5,77.027778,15.457207
1.807,0.631,0.4,0.5,77.046296,15.457207
6.269,0.954,0.2,0.15,77.064815,15.457207
4.471,1.024,0.2,0.15,77.083333,15.457207
3.58,1.585,0.3,0.15,77.101852,15.457207
4.779,1.997,0.1,0.15,77.12037,15.457207
2.563,1.103,0.5,0.15,77.138889,15.457207
3.241,1.117,0.1,0.15,77.157407,15.457207
2.654,0.704,0.4,0.4,77.175926,15.457207
2.661,0.695,0.8,0.5,77.194444,15.457207
2.183,0.656,0.4,0.15,77.212963,15.457207
1.879,0.569,0.5,0.3,77.231481,15.457207
2.509,0.777,0.5,0.4,77.25,15.457207
2.173,0.944,0.7,0.7,77.009259,15.475225
2.347,0.727,0.4,0.6,77.027778,15.475225
4.546,1.427,0.4,0.4,77.046296,15.475225
3.792,1.632,5.0,0.3,77.064815,15.475225
3.448,1.462,0.5,0.5,77.083333,15.475225
3.492,1.356,0.4,0.4,77.101852,15.475225
2.316,1.199,0.3,0.3,77.12037,15.475225
2.806,0.776,0.3,0.4,77.138889,15.475225
1.676,0.441,0.5,0.4,77.157407,15.475225
1.23,0.376,0.2,0.15,77.175926,15.475225
1.539,0.429,0.8,0.3,77.194444,15.475225
2.292,0.724,0.6,0.8,77.212963,15.475225
1.954,0.481,0.4,0.4,77.231481,15.475225
3.008,0.688,0.6,0.7,77.25,15.475225
1.698,0.465,0.5,0.5,77.009259,15.493242
2.743,0.647,0.5,0.5,77.027778,15.493242
1.824,0.626,0.3,0.15,77.046296,15.493242
2.243,0.591,0.4,0.5,77.064815,15.493242
1.798,0.596,0.4,0.5,77.083333,15.493242
2.212,0.8,0.6,0.5,77.101852,15.493242
2.153,0.816,0.4,0.4,77.12037,15.493242
2.036,0.743,0.3,0.4,77.138889,15.493242
1.992,0.647,0.7,0.7,77.157407,15.493242
1.947,0.515,0.4,0.4,77.175926,15.493242
1.701,0.512,0.4,0.5,77.194444,15.493242
2.052,0.594,0.7,0.7,77.212963,15.493242
1.607,0.49,0.5,0.4,77.231481,15.493242
1.915,0.624,0.7,0.8,77.25,15.493242
2.79,1.061,0.7,0.6,77.009259,15.00904
2.07,0.852,0.7,0.7,77.027778,15.009044
1.257,0.727,0.0,0.0,77.046296,15.009046
1.89,0.936,0.0,0.0,77.064815,15.009046
3.276,1.14,0.0,0.0,77.083333,15.009045
2.312,0.896,0.0,0.0,77.101852,15.009043
1.885,0.714,0.0,0.0,77.12037,15.009039
2.2,0.889,0.0,0.0,77.138889,15.009033
4.588,0.703,0.5,0.6,77.157407,15.009026
3.944,0.837,0.6,0.7,77.175926,15.009018
2.465,0.621,0.7,0.7,77.194444,15.009007
2.661,0.754,2.0,2.0,77.212963,15.008996
1.378,0.748,0.0,0.0,77.064815,15.027103
2.828,0.302,0.0,0.0,77.083333,15.027097
1.985,0.756,0.7,0.9,77.101852,15.02709
1.977,0.772,0.0,0.0,77.12037,15.027081
2.991,0.9,0.0,0.0,77.138889,15.02707
1.816,0.81,0.0,0.0,77.157407,15.027058
1.265,0.615,0.0,0.0,77.027778,15.099412
1.942,0.801,0.0,0.0,77.046296,15.099409
2.096,0.766,0.0,0.0,77.064815,15.099404
1.719,0.705,0.0,0.0,77.083333,15.099398
0.754,0.407,2.1,2.0,77.101852,15.09939
0.85,0.494,2.9,2.8,77.12037,15.099381
0.595,0.512,2.0,2.0,77.138889,15.09937
0.89,0.362,1.3,1.3,77.157407,15.099358
0.25,0.501,0.9,1.0,77.175926,15.099344
1.611,0.64,0.0,0.0,77.194444,15.099329
0.759,0.555,0.7,0.8,77.212963,15.099312
2.223,0.76,0.0,0.0,77.231481,15.099294
2.029,0.748,0.0,0.0,77.25,15.099276
2.832,0.976,0.0,0.0,77.009259,15.117488
7.483,0.575,0.0,0.0,77.027778,15.117487
1.847,0.6,0.0,0.0,77.046296,15.117484
2.106,0.89,0.0,0.0,77.064815,15.117479
1.406,0.263,1.7,1.4,77.083333,15.117473
1.139,0.659,1.2,1.2,77.101852,15.117465
1.57,0.719,0.0,0.0,77.12037,15.117456
0.607,0.584,1.3,1.5,77.138889,15.117445
1.665,0.602,1.0,1.0,77.157407,15.117433
0.728,0.606,0.6,0.6,77.175926,15.117419
0.62,0.736,0.7,0.8,77.194444,15.117404
2.033,0.686,0.0,0.0,77.212963,15.117387
1.649,0.621,0.0,0.0,77.231481,15.117369
1.575,0.695,0.0,0.0,77.25,15.117351
3.041,0.684,0.0,0.0,77.009259,15.135563
0.605,0.618,0.9,0.8,77.027778,15.135562
2.853,0.861,0.0,0.0,77.046296,15.135559
0.865,0.756,1.2,1.2,77.064815,15.135554
0.725,0.649,1.6,1.6,77.083333,15.135548
0.25,0.726,1.3,1.1,77.101852,15.13554
0.523,0.641,0.8,0.8,77.12037,15.135531
1.465,0.789,0.8,0.8,77.138889,15.13552
1.576,0.698,0.0,0.0,77.157407,15.135508
0.985,0.805,0.9,0.9,77.175926,15.135494
0.25,0.664,2.8,0.7,77.194444,15.135479
0.25,0.668,0.7,0.8,77.212963,15.135462
5.062,0.89916,0.0,0.0,77.231481,15.135444
7.275,2.79424,0.0,0.0,77.25,15.135426
1.77,0.77644,0.0,0.0,77.009259,15.153638
1.709,0.80594,0.0,0.0,77.027778,15.153637
3.514,1.76174,0.0,0.0,77.046296,15.153634
1.804,0.89208,0.0,0.0,77.064815,15.153629
